Ingredients, Dark Rum, Light Rum, Gold Rum, Curacao, Lemon Juice, Pina Colada, Orange Juice, Simple Syrup, Passionfruit Syrup, Lime Juice, Pineapple Juice, Orgeat
BottleSize, 12.0, 60.0, 59.0, 33.0, 16.0, 39.0, 64.0, 33.8, 33.8, 16.0, 64.0, 33.8
Dispensed, 6.70897058824, 21.3332142857, 27.3, 13.65, 8.63092436975, 33.4476453488, 46.3217981728, 24.17, 27.0079411765, 3.915, 18.219037522, 6.50214285714
